"Year","Month","Day","Hour","Temp","Warm_Hour"
2008,4,2,22,13.401,FALSE
2008,4,2,23,10.467,FALSE
2008,4,3,0,9.064,FALSE
2008,4,3,1,7.82,FALSE
2008,4,3,2,6.965,FALSE
2008,4,3,3,6.611,FALSE
2008,4,3,4,5.796,FALSE
2008,4,3,5,4.869,FALSE
2008,4,3,6,5.179,FALSE
2008,4,3,7,8.27,FALSE
2008,4,3,8,13.642,FALSE
2008,4,3,9,16.082,FALSE
2008,4,3,10,18.366,FALSE
2008,4,3,11,20.507,FALSE
2008,4,3,12,23.328,FALSE
2008,4,3,13,24.484,FALSE
2008,4,3,14,25.137,TRUE
2008,4,3,15,25.404,TRUE
2008,4,3,16,24.919,FALSE
2008,4,3,17,23.617,FALSE
2008,4,3,18,22.441,FALSE
2008,4,3,19,18.343,FALSE
2008,4,3,20,15.031,FALSE
2008,4,3,21,12.534,FALSE
2008,4,3,22,9.829,FALSE
2008,4,3,23,8.593,FALSE
2008,4,4,0,7.92,FALSE
2008,4,4,1,7.167,FALSE
2008,4,4,2,7.116,FALSE
2008,4,4,3,7.419,FALSE
2008,4,4,4,6.255,FALSE
2008,4,4,5,6.839,FALSE
2008,4,4,6,6.965,FALSE
2008,4,4,7,9.114,FALSE
2008,4,4,8,13.714,FALSE
2008,4,4,9,18.866,FALSE
